Headline,Service Provider,Rating,Review Text,Place,Type,cleaned_rev,overall_sentiment,positive_score,neutral_score,negative_score,positive_aspects,negative_aspects
Best policy ,LIFE INSURANCE CORPORATION OF INDIA,5,"LIC has offered a Jeevan Anand policy and i have taken for 5 year before. I am paying premium of Rs. 15,000 on quarterly basis which is sufficient. While getting a policy the agent has given me a clear policy details and their service was good and it has a good policy coverage.",bangalore,Life Insurance,LIC has offered a Jeevan Anand policy and i have taken for 5 year before I am paying premium of Rs 15000 on quarterly basis which is sufficient While getting a policy the agent has given me a clear policy details and their service was good and it has a good policy coverage,positive,1,0,0,"policy coverage, service",
Good policy,,5,"On one year back, I have taken life insurance from LIC. Since the agent has recommended with all good benefits so I preferred this policy to apply. I have received the hard copy on time. The tenure period of 15 years 2021 getting maturity and i am paying  premium on quartely 40,000 which am paying to the agent. It covers up to myself with the sum assured of 7.5L.",tirupur,Life Insurance,On one year back I have taken life insurance from LIC Since the agent has recommended with all good benefits so I preferred this policy to apply I have received the hard copy on time The tenure period of 15 years 2021 getting maturity and i am paying premium on quartely 40000 which am paying to the agent It covers up to myself with the sum assured of 75L,positive,1,0,0,,
Good  insurer,MAX LIFE INSURANCE,3,"I taken a life insurance in MAX LIFE on 6 months back. It covers  up to myself with tenure period of 35 years. To pay the  premium amount there is additional criteria like  accidental and for an emergency purpose can do claim at any time, so total amount  need to pay of 18K on yearly. They have tied up with many hospitals.",bangalore,Life Insurance,I taken a life insurance in MAX LIFE on 6 months back It covers up to myself with tenure period of 35 years To pay the premium amount there is additional criteria like accidental and for an emergency purpose can do claim at any time so total amount need to pay of 18K on yearly They have tied up with many hospitals,negative,0.31,0.33,0.36,,
Excellent Service,LIFE INSURANCE CORPORATION OF INDIA,5,I have taken life insurance policy of Jeevan Bhima for the tenure of 15 years .The premium is paid through yearly basis and premium is paid by myself through lic office only.This policy is stil active and the policy features and benefits was clealry shared by the agent .,indore,Life Insurance,I have taken life insurance policy of Jeevan Bhima for the tenure of 15 years The premium is paid through yearly basis and premium is paid by myself through lic office onlyThis policy is stil active and the policy features and benefits was clealry shared by the agent,positive,0.75,0.25,0.01,,
Good service ,BHARTI-AXA LIFE INSURANCE,4,On 5 months  before taken a life insurance from BHARTI-AXA. The tenure period of 15 years plus 5 years of maturity. My friend has suggested this policy to apply and I received the  hard copy on time. The premium amount of 21K need to pay on yearly. The coverage amount of 10L  if an emergency   or accidental  happen other 10Lis applicable.  The charge is high  when compared  to other.,hyderabad,Life Insurance,On 5 months before taken a life insurance from BHARTIAXA The tenure period of 15 years plus 5 years of maturity My friend has suggested this policy to apply and I received the hard copy on time The premium amount of 21K need to pay on yearly The coverage amount of 10L if an emergency or accidental happen other 10Lis applicable The charge is high when compared to other,negative,0.25,0.06,0.7,charge,
Good ,LIFE INSURANCE CORPORATION OF INDIA,4,I have taken a life insurance in LIC  on 6 years before. The policy of tenure period of 20 years. I am paying premium on half yearly package the amount of 8K which is nominal. While getting a policy my agent has given an information about the policy details. It covers up to myself.,darbhanga,Life Insurance,I have taken a life insurance in LIC on 6 years before The policy of tenure period of 20 years I am paying premium on half yearly package the amount of 8K which is nominal While getting a policy my agent has given an information about the policy details It covers up to myself,neutral,0.18,0.8,0.02,,
Secured policy,LIFE INSURANCE CORPORATION OF INDIA,4,"I got Money Back policy from LIC. It was taken on 14 years back. The tenure period of  20 years. The premium amount need to pay on half yearly  basis of 2,480 rupees. Evey 5 years I get good returns from their end. So far I have not faced any charge. I use to remainder and update from my agency.",darbhanga,Life Insurance,I got Money Back policy from LIC It was taken on 14 years back The tenure period of 20 years The premium amount need to pay on half yearly basis of 2480 rupees Evey 5 years I get good returns from their end So far I have not faced any charge I use to remainder and update from my agency,positive,0.98,0.02,0,returns,
Good,LIFE INSURANCE CORPORATION OF INDIA,4,"I took a life insurance for myself only from LIC. The policy of Jeevan Mithra which I need to pay of 10K on quarterly basis. I took this policy on 15 years back, when I was a student took this insurance so all the details got from their end on time. Only for investment taken this policy.",darbhanga,Life Insurance,I took a life insurance for myself only from LIC The policy of Jeevan Mithra which I need to pay of 10K on quarterly basis I took this policy on 15 years back when I was a student took this insurance so all the details got from their end on time Only for investment taken this policy,positive,0.84,0.14,0.02,,
Good service,LIFE INSURANCE CORPORATION OF INDIA,4,LIC has offered a life insurance for my children. It covers my kids only. It was taken on 2015 which is good policy. The tenure period of 20 years. Agent has given all the details about the policy and also provided hard copy documents on time. The premium amount to pay of around 3K.,darbhanga,Life Insurance,LIC has offered a life insurance for my children It covers my kids only It was taken on 2015 which is good policy The tenure period of 20 years Agent has given all the details about the policy and also provided hard copy documents on time The premium amount to pay of around 3K,positive,0.9,0.01,0.08,policy,
Good policy ,LIFE INSURANCE CORPORATION OF INDIA,4,For my spouse I taken a life insurance policy from LIC on 3 years back. It covers only for her. The tenure period will be 20 years. I use to pay the premium amount of 20K per annum. Since somebody suggested about this policy so I opted for it. The policy is Jeeven Anandh.,darbhanga,Life Insurance,For my spouse I taken a life insurance policy from LIC on 3 years back It covers only for her The tenure period will be 20 years I use to pay the premium amount of 20K per annum Since somebody suggested about this policy so I opted for it The policy is Jeeven Anandh,positive,0.65,0.34,0.01,,
Good insurer,LIFE INSURANCE CORPORATION OF INDIA,4,I taken a life insurance from LIC on 7-8 years back. They have given the policy of Jeevan Anandh which was covered only for myself. The premium amount which I need to pay of 6K around. The agent has given all the details about this policy. So far I have not faced any charge. To pay the amount I visit branch directly. The tenure period of 20 years.,darbhanga,Life Insurance,I taken a life insurance from LIC on 78 years back They have given the policy of Jeevan Anandh which was covered only for myself The premium amount which I need to pay of 6K around The agent has given all the details about this policy So far I have not faced any charge To pay the amount I visit branch directly The tenure period of 20 years,positive,0.63,0.35,0.03,,
Good insurer,LIFE INSURANCE CORPORATION OF INDIA,5,I got a money back policy from LIC hence taken on 12 years back. I am paying premium on quarterly package the amount of 6K which is nominal. While getting a policy the agent has given an information about all details and received the hard copy documents on time. It covers up to myself only.,rajahmundry,Life Insurance,I got a money back policy from LIC hence taken on 12 years back I am paying premium on quarterly package the amount of 6K which is nominal While getting a policy the agent has given an information about all details and received the hard copy documents on time It covers up to myself only,positive,0.71,0.19,0.1,,
Very good,LIFE INSURANCE CORPORATION OF INDIA,5,"My Aunt is working in LIC, she only suggested me to take this Life Insurance policy. I am paying annual premium of Rs. 30,000 which is auto debited from my account.  This policy benefits are clearly explained to my mom and she knows it better than me. Its a money back policy taken last 2 years back.",hyderabad,Life Insurance,My Aunt is working in LIC she only suggested me to take this Life Insurance policy I am paying annual premium of Rs 30000 which is auto debited from my account This policy benefits are clearly explained to my mom and she knows it better than me Its a money back policy taken last 2 years back,positive,0.99,0.01,0,,
Good insurer,LIFE INSURANCE CORPORATION OF INDIA,5,"On one year back, I have taken life insurance from LIC. Since the agent has recommended with all good benefits so I preferred this policy to apply. I have received the hard copy on time. The tenure period of 20 years. I need to pay the premium on monthly of 3K which am paying to the agent. It covers up to myself with the sum assured of 5L.",hyderabad,Life Insurance,On one year back I have taken life insurance from LIC Since the agent has recommended with all good benefits so I preferred this policy to apply I have received the hard copy on time The tenure period of 20 years I need to pay the premium on monthly of 3K which am paying to the agent It covers up to myself with the sum assured of 5L,positive,1,0,0,,
Excellent Service,LIFE INSURANCE CORPORATION OF INDIA,5,I have taken life insurance policy through lic agent .This was a maturity benefit policy and the policy tenure is for 15 years and the premium is paid on yearly basis .I am using net banking service as well as mobile banking service both are very user friendly .This was taken for my family benefits and customer service was good.,hyderabad,Life Insurance,I have taken life insurance policy through lic agent This was a maturity benefit policy and the policy tenure is for 15 years and the premium is paid on yearly basis I am using net banking service as well as mobile banking service both are very user friendly This was taken for my family benefits and customer service was good,positive,1,0,0,"customer service, mobile banking service",
Better Policy,MAX LIFE INSURANCE,5,"Taken the life insurance policy with MAX company around 8 years ago. My colleague is suggested me to take the policy from here. The claim ratio is more compared to others. I am paying the premium amount of Rs. 15000 and i will get a sum assured amount of Rs. 3.5 lakhs. In online, i will pay the premium amount without any hassle.",nasik,Life Insurance,Taken the life insurance policy with MAX company around 8 years ago My colleague is suggested me to take the policy from here The claim ratio is more compared to others I am paying the premium amount of Rs 15000 and i will get a sum assured amount of Rs 35 lakhs In online i will pay the premium amount without any hassle,positive,0.89,0.09,0.02,,
Average Policy,RELIANCE LIFE INSURANCE,4,"Purchased my Reliance life insurance policy last 3 years before. My friend is working as an agent hence he suggested me to take this policy here. Yearly, I'm paying the premium amount of Rs. 15000. They are giving me a sum assured amount of Rs. 2.5  lakhs for the term period of 10 years plan. This policy has tax benefits also.",nasik,Life Insurance,Purchased my Reliance life insurance policy last 3 years before My friend is working as an agent hence he suggested me to take this policy here Yearly I Am paying the premium amount of Rs 15000 They are giving me a sum assured amount of Rs 25 lakhs for the term period of 10 years plan This policy has tax benefits also,positive,0.84,0.16,0,,
Excellent Service,MAX LIFE INSURANCE,5,I have taken life insurance policy through Max life  insurance .This policy tenure is10 years and the premium was paid on yearly through ECS mode.The policy features and benefits are well known to me since working with Max.I am satisfied with my policy.,dehradun,Life Insurance,I have taken life insurance policy through Max life insurance This policy tenure is10 years and the premium was paid on yearly through ECS modeThe policy features and benefits are well known to me since working with MaxI am satisfied with my policy,positive,1,0,0,policy,
Excellent Service,MAX LIFE INSURANCE,5,"I have taken Life Insurance policy through Max Life insurance  .Since working with max life i know the policy features and benefits.This policy is monthly income plan and for the tenure of 10 years .This policy premium is paid on yearly basis .I am paying the premium on ecs mode and it is totally for family benefits.I am paying the premium of rs.30,000.",dehradun,Life Insurance,I have taken Life Insurance policy through Max Life insurance Since working with max life i know the policy features and benefitsThis policy is monthly income plan and for the tenure of 10 years This policy premium is paid on yearly basis I am paying the premium on ecs mode and it is totally for family benefitsI am paying the premium of rs30000,neutral,0.43,0.56,0,,
Excellent Service,MAX LIFE INSURANCE,5,"I have taken life insurance policy directly through Max life since i am working with them .This was a monthly income plan and it is availed for family benefits only.I am paying the premium on ECS mode and the premium amount was Rs.50,000.The  policy details was clearly shared by the agent and i am satisfied with the service .",dehradun,Life Insurance,I have taken life insurance policy directly through Max life since i am working with them This was a monthly income plan and it is availed for family benefits onlyI am paying the premium on ECS mode and the premium amount was Rs50000The policy details was clearly shared by the agent and i am satisfied with the service,positive,1,0,0,service,
Trustable policy,LIFE INSURANCE CORPORATION OF INDIA,5,"LIC is a evergreen and trust able company without any problem anyone can take the policy by closing their eyes. Therefore, I have chosen the money back policy by considering the future benefits. I pay the premium amount of Rs. 2000 on a monthly basis. This policy has a term period of 15 years. I pay the premium through online.",chennai,Life Insurance,LIC is a evergreen and trust able company without any problem anyone can take the policy by closing their eyes Therefore I have chosen the money back policy by considering the future benefits I pay the premium amount of Rs 2000 on a monthly basis This policy has a term period of 15 years I pay the premium through online,positive,0.98,0.01,0.01,"LIC, company",
Average Service,,2,I have taken life insurance policy through LIC agent .This was a jeevan bhima policy and the tenure is for 15 years and the premium is paid within 3 months through the agent and the policy documents got on time without any delay .The service was average according to me.,bangalore,Life Insurance,I have taken life insurance policy through LIC agent This was a jeevan bhima policy and the tenure is for 15 years and the premium is paid within 3 months through the agent and the policy documents got on time without any delay The service was average according to me,positive,0.94,0.04,0.02,service,
Good,LIFE INSURANCE CORPORATION OF INDIA,4,"Fifteen years back, i have taken a life insurance from LIC and the policy has a tenure of 20 years. Once in 3 months, i am paying premium of Rs. 2500 and if something happen then amount would goes to my nominee otherwise I will be receiving the return.",bangalore,Life Insurance,Fifteen years back i have taken a life insurance from LIC and the policy has a tenure of 20 years Once in 3 months i am paying premium of Rs 2500 and if something happen then amount would goes to my nominee otherwise I will be receiving the return,neutral,0.09,0.87,0.04,,
Better,LIFE INSURANCE CORPORATION OF INDIA,5,I got a life insurance with LIC which is Jeevan Anand and the tenure is 21 years. I have purchased this policy 3 years back. I make the premium on yearly which is around 15K. There is no reminder call for due date. The payment mode is online and easy.,kanpur,Life Insurance,I got a life insurance with LIC which is Jeevan Anand and the tenure is 21 years I have purchased this policy 3 years back I make the premium on yearly which is around 15K There is no reminder call for due date The payment mode is online and easy,positive,0.98,0.02,0,payment mode,
Good policy ,HDFC LIFE,5,"From HDFC Life, i have taken a term insurance and the coverage value was Rs.50L. This policy will cover all types of death any eventuality happens then amount goes to the nominee. This insurance is valid till the age of 70 years, if nothing happen then the policy will get lapsed.",kolkata,Life Insurance,From HDFC Life i have taken a term insurance and the coverage value was Rs50L This policy will cover all types of death any eventuality happens then amount goes to the nominee This insurance is valid till the age of 70 years if nothing happen then the policy will get lapsed,negative,0.01,0.05,0.94,,
Good ,LIFE INSURANCE CORPORATION OF INDIA,5,"LIC has offered a Jeevan Anand policy and i have taken for 1 year before. I am paying premium of Rs. 5,000 on monthly basis which is sufficient. While getting a policy the agent has given me a clear policy details and their service was  good and it has a good policy coverage.",haldwani,Life Insurance,LIC has offered a Jeevan Anand policy and i have taken for 1 year before I am paying premium of Rs 5000 on monthly basis which is sufficient While getting a policy the agent has given me a clear policy details and their service was good and it has a good policy coverage,positive,1,0,0,"policy coverage, service",
Good service ,LIFE INSURANCE CORPORATION OF INDIA,3,"I am using LIC Money back policy more than five years and i am paying premium of Rs. 9,000. After maturity i will be getting good returns and their service was good.  This insurance policy covers any risk or any uncertainty demise. Overall am satisfied.",medak,Life Insurance,I am using LIC Money back policy more than five years and i am paying premium of Rs 9000 After maturity i will be getting good returns and their service was good This insurance policy covers any risk or any uncertainty demise Overall am satisfied,positive,1,0,0,"service, insurance policy",
Good policy,LIFE INSURANCE CORPORATION OF INDIA,3,"From LIC,  i have taken a Money back policy and i am paying premium once in 6 months. I have opted for the tenure period of 15 years and i have completed the policy and got maturity amount also. I paid the premium through agent and he clearly informed benefits of this policy.",medak,Life Insurance,From LIC i have taken a Money back policy and i am paying premium once in 6 months I have opted for the tenure period of 15 years and i have completed the policy and got maturity amount also I paid the premium through agent and he clearly informed benefits of this policy,positive,0.93,0.06,0.01,,
Good ,LIFE INSURANCE CORPORATION OF INDIA,5,"I have taken a Life Insurance Policy from LIC. This is a term insurance which covers all types of death till 30 years.There is no returns, after 30 years in case of death amount goes to the nominee and it has good coverage and the payment options also good.",kolkata,Life Insurance,I have taken a Life Insurance Policy from LIC This is a term insurance which covers all types of death till 30 yearsThere is no returns after 30 years in case of death amount goes to the nominee and it has good coverage and the payment options also good,positive,0.99,0,0.01,"payment options, coverage",
Good service,LIFE INSURANCE CORPORATION OF INDIA,5,"From LIC, I have taken a Jeevan Saral life insurance and i am paying premium of Rs.11k and have to pay until 2030. The policy matures on 2035 and the term is 25 years, in case of any eventuality happens then amount would goes to the nominee. This is a Tax benefit policy, i can avail in 80C.",kolkata,Life Insurance,From LIC I have taken a Jeevan Saral life insurance and i am paying premium of Rs11k and have to pay until 2030 The policy matures on 2035 and the term is 25 years in case of any eventuality happens then amount would goes to the nominee This is a Tax benefit policy i can avail in 80C,positive,0.69,0.29,0.02,,
Good policy ,LIFE INSURANCE CORPORATION OF INDIA,4,"Taken my life insurance policy since 9 months ago which i have chosen for tax benefits. I have taken Jeevan Anand policy. I have been paying the premium amount of Rs. 18,000 on quarterly basis. I'm getting a sum assured amount after 25 years but the term is 16 years.",hyderabad,Life Insurance,Taken my life insurance policy since 9 months ago which i have chosen for tax benefits I have taken Jeevan Anand policy I have been paying the premium amount of Rs 18000 on quarterly basis I Am getting a sum assured amount after 25 years but the term is 16 years,positive,0.78,0.21,0.01,,
Excellent in all service ,LIFE INSURANCE CORPORATION OF INDIA,5,"I have taken life insurance policy which was taken though LIC  for 15 years and paying the premium on yearly  basis Rs. 15500 and the coverage for Rs. 10,00,000 .I am paying the premium in their  office .This policy is totally for my family benefits.",indore,Life Insurance,I have taken life insurance policy which was taken though LIC for 15 years and paying the premium on yearly basis Rs 15500 and the coverage for Rs 1000000 I am paying the premium in their office This policy is totally for my family benefits,positive,0.64,0.36,0,,
Average policy,LIFE INSURANCE CORPORATION OF INDIA,5,"Taken my life insurance policy by last year and i have chosen LIC because of tax benefits. I have taken Jeevan Anand policy because it was advised by someone. I have been paying the premium amount of Rs. 23000 per annum. I'm getting a sum assured amount of Rs. 5 lakhs. If they increase the returns, it will be good.",pune,Life Insurance,Taken my life insurance policy by last year and i have chosen LIC because of tax benefits I have taken Jeevan Anand policy because it was advised by someone I have been paying the premium amount of Rs 23000 per annum I Am getting a sum assured amount of Rs 5 lakhs If they increase the returns it will be good,positive,1,0,0,,
Good Service,LIFE INSURANCE CORPORATION OF INDIA,5,I have taken life insurance policy through lic agent .This was a maturity benefit policy and the tenure is for 15 years .The premium is paid once in 3 months only and the agent share all the relevant details about the policy details .This policy is still active and the premium is provided to the agent.,bangalore,Life Insurance,I have taken life insurance policy through lic agent This was a maturity benefit policy and the tenure is for 15 years The premium is paid once in 3 months only and the agent share all the relevant details about the policy details This policy is still active and the premium is provided to the agent,positive,0.56,0.44,0.01,,
